lon,lat,olc_id
36.4359375,-6.08868749999999,6G5RWC6P+G95
36.4576875,-6.05568749999999,6G5RWFV5+P35
37.4933125,-5.33931249999999,6G6VMF6V+789
37.5153125,-5.3336875,6G6VMG88+G48
35.1918125,-11.0870625,5GWQW57R+5P3
-11.0328125,14.8215625,7C6CRXC8+JV2
-6.32681249999997,12.4721875,7C4MFMCF+V7J
-6.31218750000001,12.4661875,7C4MFM8Q+F45
33.0160625,-2.9928125,6G9M2248+VCH
33.0333125,-2.9874375,6G9M227M+286
35.3096875,-15.9355625,5GPQ3875+QV7
35.3425625,-15.9250625,5GPQ38FV+X2G
-1.25981250000002,6.68231250000001,6CRWMPJR+W3Q
-1.2415625,6.69206250000001,6CRWMQR5+R93
-0.728937499999986,5.43468750000001,6CQXC7MC+VC9
-0.717437500000003,5.4476875,6CQXC7XM+328
37.3336875,-8.0493125,6G3VX82M+7FG
35.4613125,-13.4248125,5GRQHFG6+3GQ
39.8409375,-14.7264375,5GQX7RFR+C97
39.8631875,-14.7235625,5GQX7VG7+H73
34.1948125,-6.92993750000001,6G5P35CV+2W2
34.2231875,-6.92743750000001,6G5P36FF+272
34.9988125,8.6441875,6GWPJXVX+MG4
35.0241875,8.64143749999999,6GWQJ2RF+HM6
-3.53056249999999,10.9028125,7C2RWF39+4Q2
-3.51368750000002,10.8988125,7C2RVFXP+GGP
34.2525625,-11.5876875,5GWPC763+W22
34.2719375,-11.5901875,5GWPC75C+WQM
42.7248125,9.58831249999999,6HX4HPQF+8WW
38.2619375,4.17806250000001,6GPW57H6+6QJ
36.1410625,-6.86206250000001,6G5R44QR+5C7
36.4645625,-6.06993749999999,6G5RWFJ7+2R8
-2.63956250000003,10.9166875,7C2VW986+M5R
-2.6200625,10.9099375,7C2VW95H+XX4
9.93068750000002,8.1586875,6FWF5W5J+F7C
9.30706250000001,7.02068749999999,6FVF28C4+7RQ
4.63006249999999,6.7170625,6FR6PJ8J+R27
4.6504375,6.7155625,6FR6PM82+65G
39.5724375,11.3264375,7G3X8HGC+HXM
39.6163125,11.2676875,7G3X7J98+3G2
30.0388125,-27.5349375,5G4GF28Q+2G3
30.0709375,-27.5430625,5G4GF34C+Q99
22.7598125,-29.9346875,5G243Q85+4W7
22.7819375,-29.9279375,5G243QCJ+RQJ
35.2879375,-22.8048125,5G9Q57WQ+35R
35.3131875,-22.8701875,5G9Q48H7+W7X
35.3173125,-22.8499375,5G9Q5828+2WJ
35.3178125,-22.8305625,5G9Q5899+Q4W
35.3128125,-22.8036875,5G9Q58W7+G4P
35.3385625,-22.8750625,5G9Q48FQ+XCG
35.3359375,-22.8488125,5G9Q582P+F9V
36.8616875,-17.9779375,5GJR2VC6+RMP
38.9380625,-16.1098125,5GMWVWRQ+369
32.2680625,0.533437499999991,6GGJG7M9+96M
32.2866875,0.5330625,6GGJG7MP+6MM
31.4898125,1.4593125,6GHHFF5Q+PW7
31.5074375,1.46218750000001,6GHHFG64+VXQ
29.6461875,-9.1369375,6G2FVJ7W+6FW
29.6744375,-9.13656250000001,6G2FVM7F+9QJ
28.4820625,-13.0623125,5GRCWFQJ+3R4
28.5159375,-13.0683125,5GRCWGJ8+M94
