seeds,rmse_train,acc_train,rmse_valid,acc_valid,rmse_test,acc_test
24,0.33029161217455777,0.7620410962989472,0.4476343573829571,0.6830097521696341,0.45975335389501587,0.6840833855238436
3,0.2975469984768751,0.7870627180817751,0.4445612574383707,0.6914198801109421,0.44332743102471567,0.6860517133398945
123,0.28819609199989105,0.7895976857236587,0.44677419359572274,0.686409591124631,0.4413642957996906,0.6866779994631833
7,0.3029086318817659,0.7783841818019146,0.44380444444039724,0.6903462467567326,0.4433037574544462,0.6838149771852913
666,0.3043515483418198,0.7772807252989771,0.446394896295985,0.6870358772479198,0.44356387337047104,0.695535474635412
5,0.29794488513707507,0.7842295189526111,0.4449875464062585,0.685693835555158,0.4368064361093876,0.6919566967880468
10,0.29190854563085217,0.7889713996003698,0.4472438343062849,0.6958933524201485,0.440301451142748,0.694819719065939
1993,0.29571383467274004,0.7865557245533984,0.44170163603920726,0.6930303301422565,0.4428163527140393,0.6924935134651516
13,0.29392293460051494,0.7874802421639677,0.44388684483460283,0.6902567773105485,0.44220878540134734,0.6905251856491008
12,0.3074806478213045,0.7744773493185411,0.4460656326534337,0.6860517133398945,0.4575938247322753,0.680862485461215
